"","open","high","low","close","volume","adjusted"
"2018-01-02",10.95,11.07,9.52,9.77,0,9.77
"2018-01-03",9.56,9.65,8.94,9.15,0,9.15
"2018-01-04",9.01,9.31,8.92,9.22,0,9.22
"2018-01-05",9.1,9.54,9,9.22,0,9.22
"2018-01-08",9.61,9.89,9.32,9.52,0,9.52
"2018-01-09",9.41,10.09,9.37,10.08,0,10.08
"2018-01-10",10.11,10.85,9.82,9.82,0,9.82
"2018-01-11",9.69,10.02,9.62,9.88,0,9.88
"2018-01-12",9.74,10.31,9.54,10.16,0,10.16
"2018-01-16",10.42,12.41,10.4,11.66,0,11.66
"2018-01-17",11.35,12.81,11.18,11.91,0,11.91
"2018-01-18",12.01,12.4,11.62,12.22,0,12.22
"2018-01-19",12.3,12.33,11.18,11.27,0,11.27
"2018-01-22",11.59,11.62,10.84,11.03,0,11.03
"2018-01-23",10.77,11.57,10.76,11.1,0,11.1
"2018-01-24",11,12.19,10.89,11.47,0,11.47
"2018-01-25",11.27,12.01,11.2,11.58,0,11.58
"2018-01-26",11.4,11.6,11.08,11.08,0,11.08
"2018-01-29",11.71,13.84,11.68,13.84,0,13.84
"2018-01-30",13.93,15.42,13.88,14.79,0,14.79
"2018-01-31",14.23,14.44,13.41,13.54,0,13.54
"2018-02-01",13.05,14.3,12.5,13.47,0,13.47
"2018-02-02",13.64,17.860001,13.64,17.309999,0,17.309999
"2018-02-05",18.440001,38.799999,16.799999,37.32,0,37.32
"2018-02-06",37.32,50.299999,22.42,29.98,0,29.98
"2018-02-07",31.379999,31.639999,21.17,27.73,0,27.73
"2018-02-08",27.290001,36.169998,24.41,33.459999,0,33.459999
"2018-02-09",32.18,41.060001,27.73,29.059999,0,29.059999
"2018-02-12",27.25,29.700001,24.42,25.610001,0,25.610001
"2018-02-13",26.940001,27.82,24.469999,24.969999,0,24.969999
"2018-02-14",23.48,25.719999,18.99,19.26,0,19.26
"2018-02-15",18.389999,20.66,17.6,19.129999,0,19.129999
"2018-02-16",18.74,20.99,17.440001,19.459999,0,19.459999
"2018-02-20",20.530001,21.610001,19.75,20.6,0,20.6
"2018-02-21",20.76,21.040001,16.969999,20.02,0,20.02
"2018-02-22",20.57,20.610001,18.07,18.719999,0,18.719999
"2018-02-23",17.959999,18.799999,16.469999,16.49,0,16.49
"2018-02-26",16.530001,16.940001,15.8,15.8,0,15.8
"2018-02-27",15.83,18.98,15.29,18.59,0,18.59
"2018-02-28",18.08,20.440001,15.65,19.85,0,19.85
"2018-03-01",19.959999,25.299999,19.57,22.469999,0,22.469999
"2018-03-02",22.469999,26.219999,19.360001,19.59,0,19.59
"2018-03-05",21.549999,21.57,17.940001,18.73,0,18.73
"2018-03-06",18.25,19.639999,17.68,18.360001,0,18.360001
"2018-03-07",20.110001,20.49,17.52,17.76,0,17.76
"2018-03-08",17.559999,17.68,14.91,16.540001,0,16.540001
"2018-03-09",16.41,16.75,13.31,14.64,0,14.64
"2018-03-12",15.28,16.35,15.18,15.78,0,15.78
"2018-03-13",15.7,16.98,15.03,16.35,0,16.35
"2018-03-14",16.59,17.59,14.94,17.23,0,17.23
"2018-03-15",16.99,17.41,15.96,16.59,0,16.59
"2018-03-16",16.6,16.719999,15.23,15.8,0,15.8
"2018-03-19",16.629999,21.870001,16.559999,19.02,0,19.02
"2018-03-20",18.379999,19.309999,18.09,18.200001,0,18.200001
"2018-03-21",17.76,18.370001,16.26,17.860001,0,17.860001
"2018-03-22",18.129999,23.809999,18.120001,23.34,0,23.34
"2018-03-23",24.02,26.01,21.629999,24.870001,0,24.870001
"2018-03-26",23.41,24.540001,20.709999,21.030001,0,21.030001
"2018-03-27",20.33,24.059999,19.84,22.5,0,22.5
"2018-03-28",22.52,24.940001,21.709999,22.870001,0,22.870001
"2018-03-29",22.870001,23.049999,19.6,19.969999,0,19.969999
"2018-04-02",21.07,25.719999,20.440001,23.620001,0,23.620001
"2018-04-03",23.030001,23.379999,20.92,21.1,0,21.1
"2018-04-04",21.68,24.51,19.860001,20.059999,0,20.059999
"2018-04-05",19.76,20.209999,18.57,18.940001,0,18.940001
"2018-04-06",20.33,23.120001,18.6,21.49,0,21.49
"2018-04-09",21.27,22.02,20.34,21.77,0,21.77
"2018-04-10",20.51,21.68,20.24,20.469999,0,20.469999
"2018-04-11",20.950001,21.66,19.639999,20.24,0,20.24
"2018-04-12",19.83,19.92,18.16,18.49,0,18.49
"2018-04-13",18.27,18.450001,17.26,17.41,0,17.41
"2018-04-16",17.59,17.66,16.379999,16.559999,0,16.559999
"2018-04-17",16.16,16.27,14.57,15.25,0,15.25
"2018-04-18",15.3,16.9,14.95,15.6,0,15.6
"2018-04-19",15.55,16.92,15.16,15.96,0,15.96
"2018-04-20",16.16,17.5,15.19,16.879999,0,16.879999
"2018-04-23",17.290001,17.559999,15.79,16.34,0,16.34
"2018-04-24",16.16,19.66,15.37,18.02,0,18.02
"2018-04-25",18.139999,19.84,17.75,17.84,0,17.84
"2018-04-26",18.07,18.120001,16.24,16.24,0,16.24
"2018-04-27",16.219999,16.77,15.25,15.41,0,15.41
"2018-04-30",15.31,16.35,15.13,15.93,0,15.93
"2018-05-01",16,16.82,15.42,15.49,0,15.49
"2018-05-02",15.48,15.97,14.75,15.97,0,15.97
"2018-05-03",15.78,18.66,15.43,15.9,0,15.9
"2018-05-04",15.94,16.92,10.91,14.77,0,14.77
"2018-05-07",15.05,15.27,14.51,14.75,0,14.75
"2018-05-08",14.53,15.56,14.52,14.71,0,14.71
"2018-05-09",14.54,14.63,13.38,13.42,0,13.42
"2018-05-10",13.36,13.63,12.92,13.23,0,13.23
"2018-05-11",13.22,13.44,12.65,12.65,0,12.65
"2018-05-14",13.09,13.28,12.81,12.93,0,12.93
"2018-05-15",13.13,15.01,12.5,14.63,0,14.63
"2018-05-16",14.38,14.91,13.21,13.42,0,13.42
"2018-05-17",13.54,13.86,12.65,13.43,0,13.43
"2018-05-18",13.18,13.87,13.06,13.42,0,13.42
"2018-05-21",12.99,13.59,12.78,13.08,0,13.08
"2018-05-22",13.03,13.42,12.77,13.22,0,13.22
"2018-05-23",13.5,14.6,12.49,12.58,0,12.58
"2018-05-24",12.73,14.24,12.53,12.53,0,12.53
"2018-05-25",12.44,13.52,12.29,13.22,0,13.22
"2018-05-29",14.39,18.780001,14.39,17.02,0,17.02
"2018-05-30",16.6,16.639999,14.65,14.94,0,14.94
"2018-05-31",14.93,16.290001,14.2,15.43,0,15.43
"2018-06-01",14.92,14.93,13.37,13.46,0,13.46
"2018-06-04",13.91,13.91,12.69,12.74,0,12.74
"2018-06-05",12.91,13.34,12.3,12.4,0,12.4
