date,180_low,180_high,360_low,360_high
2018-01-02,0,0,17.369723227777776,17.392472219444443
2018-01-03,0,0,17.369445455555553,17.384944438888887
2018-01-04,17.46827676666667,20.106334333333333,17.36916768333333,17.37741665833333
2018-01-05,17.466554533333337,20.102667666666665,17.368889911111108,17.369888877777775
2018-01-08,17.464832300000005,20.099000999999998,17.368612138888885,17.36236109722222
2018-01-09,17.463110066666673,20.09533433333333,17.368334366666662,17.354833316666664
2018-01-10,17.46138783333334,20.091667666666662,17.36805659444444,17.347305536111108
2018-01-11,17.459665600000008,20.088000999999995,17.367778822222217,17.339777755555552
2018-01-12,17.457943366666676,20.084334333333327,17.367501049999994,17.332249974999996
2018-01-16,17.456221133333344,20.08066766666666,17.36722327777777,17.32472219444444
2018-01-17,17.45449890000001,20.077000999999992,17.36694550555555,17.317194413888885
2018-01-18,17.45277666666668,20.073334333333325,17.366667733333326,17.30966663333333
2018-01-19,17.451054433333347,20.069667666666657,17.366389961111103,17.302138852777773
2018-01-22,17.449332200000015,20.06600099999999,17.36611218888888,17.294611072222217
2018-01-23,17.447609966666683,20.06233433333332,17.365834416666658,17.28708329166666
2018-01-24,17.44588773333335,20.058667666666654,17.365556644444435,17.279555511111106
2018-01-25,17.444165500000018,20.055000999999987,17.365278872222213,17.27202773055555
2018-01-26,17.442443266666686,20.05133433333332,17.36500109999999,17.264499949999994
2018-01-29,17.440721033333354,20.04766766666665,17.364723327777767,17.25697216944444
2018-01-30,17.43899880000002,20.044000999999984,17.364445555555545,17.249444388888882
2018-01-31,17.43727656666669,20.040334333333316,17.364167783333322,17.241916608333327
2018-02-01,17.435554333333357,20.03666766666665,17.3638900111111,17.23438882777777
2018-02-02,17.433832100000025,20.03300099999998,17.363612238888877,17.226861047222215
2018-02-05,17.432109866666693,20.029334333333313,17.363334466666654,17.21933326666666
2018-02-06,17.43038763333336,20.025667666666646,17.36305669444443,17.211805486111103
2018-02-07,17.42866540000003,20.022000999999978,17.36277892222221,17.204277705555548
2018-02-08,17.426943166666696,20.01833433333331,17.362501149999986,17.196749924999992
2018-02-09,17.425220933333364,20.014667666666643,17.362223377777763,17.189222144444436
2018-02-12,17.42349870000003,20.011000999999975,17.36194560555554,17.18169436388888
2018-02-13,17.4217764666667,20.007334333333308,17.361667833333318,17.174166583333324
2018-02-14,17.420054233333367,20.00366766666664,17.361390061111095,17.16663880277777
2018-02-15,17.418332000000035,20.000000999999973,17.361112288888872,17.159111022222213
2018-02-16,17.416609766666703,19.996334333333305,17.36083451666665,17.151583241666657
2018-02-20,17.41488753333337,19.992667666666637,17.360556744444427,17.1440554611111
2018-02-21,17.41316530000004,19.98900099999997,17.360278972222204,17.136527680555545
2018-02-22,17.411443066666706,19.985334333333302,17.36000119999998,17.12899989999999
2018-02-23,17.409720833333374,19.981667666666635,17.35972342777776,17.121472119444434
2018-02-26,17.40799860000004,19.978000999999967,17.359445655555536,17.113944338888878
2018-02-27,17.40627636666671,19.9743343333333,17.359167883333313,17.106416558333322
2018-02-28,17.404554133333377,19.970667666666632,17.35889011111109,17.098888777777766
2018-03-01,17.402831900000045,19.967000999999964,17.358612338888868,17.09136099722221
2018-03-02,17.401109666666713,19.963334333333297,17.358334566666645,17.083833216666655
2018-03-05,17.39938743333338,19.95966766666663,17.358056794444423,17.0763054361111
2018-03-06,17.39766520000005,19.95600099999996,17.3577790222222,17.068777655555543
2018-03-07,17.395942966666716,19.952334333333294,17.357501249999977,17.061249874999987
2018-03-08,17.394220733333384,19.948667666666626,17.357223477777755,17.05372209444443
2018-03-09,17.392498500000052,19.94500099999996,17.356945705555532,17.046194313888876
2018-03-12,17.39077626666672,19.94133433333329,17.35666793333331,17.03866653333332
2018-03-13,17.389054033333387,19.937667666666623,17.356390161111086,17.031138752777764
2018-03-14,17.387331800000055,19.934000999999956,17.356112388888864,17.023610972222208
2018-03-15,17.385609566666723,19.93033433333329,17.35583461666664,17.016083191666652
2018-03-16,17.38388733333339,19.92666766666662,17.35555684444442,17.008555411111097
2018-03-19,17.38216510000006,19.923000999999953,17.355279072222196,17.00102763055554
2018-03-20,17.380442866666726,19.919334333333286,17.355001299999973,16.993499849999985
2018-03-21,17.378720633333394,19.915667666666618,17.35472352777775,16.98597206944443
2018-03-22,17.376998400000062,19.91200099999995,17.354445755555528,16.978444288888873
2018-03-23,17.37527616666673,19.908334333333283,17.354167983333305,16.970916508333318
2018-03-26,17.373553933333397,19.904667666666615,17.353890211111082,16.96338872777776
2018-03-27,17.371831700000065,19.901000999999948,17.35361243888886,16.955860947222206
2018-03-28,17.370109466666733,19.89733433333328,17.353334666666637,16.94833316666665
2018-03-29,17.3683872333334,19.893667666666612,17.353056894444414,16.940805386111094
2018-04-02,17.36666500000007,19.890000999999945,17.35277912222219,16.93327760555554
2018-04-03,17.364942766666736,19.886334333333277,17.35250134999997,16.925749824999983
2018-04-04,17.363220533333404,19.88266766666661,17.352223577777746,16.918222044444427
2018-04-05,17.361498300000072,19.879000999999942,17.351945805555523,16.91069426388887
2018-04-06,17.35977606666674,19.875334333333274,17.3516680333333,16.903166483333315
2018-04-09,17.358053833333408,19.871667666666607,17.351390261111078,16.89563870277776
2018-04-10,17.356331600000075,19.86800099999994,17.351112488888855,16.888110922222204
2018-04-11,17.354609366666743,19.86433433333327,17.350834716666633,16.880583141666648
2018-04-12,17.35288713333341,19.860667666666604,17.35055694444441,16.873055361111092
2018-04-13,17.35116490000008,19.857000999999936,17.350279172222187,16.865527580555536
