"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",1.57454,1.56720849253363,1.58187150746637,1.56536545189549,1.58371454810451,1.56204858579871,1.58703141420129
"2019.008",1.57454,1.56417168270842,1.58490831729158,1.56156522964195,1.58751477035805,1.55687447262332,1.59220552737668
"2019.016",1.57454,1.56184145657218,1.58723854342782,1.5586492165465,1.5904307834535,1.55290423594498,1.59617576405502
"2019.024",1.57454,1.55987698506726,1.58920301493274,1.55619090379097,1.59288909620903,1.54955717159743,1.59952282840257
"2019.033",1.57454,1.55814625092765,1.59093374907235,1.55402508677546,1.59505491322454,1.54660834871082,1.60247165128918
"2019.041",1.57454,1.55658154766199,1.59249845233801,1.55206703852332,1.59701296147668,1.54394240904109,1.60513759095891
"2019.049",1.57454,1.55514265450877,1.59393734549123,1.55026642732405,1.59881357267595,1.5414908244999,1.6075891755001
