"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",5.36351825264725,4.86011586852503,5.86692063676947,4.73356739871405,5.99346910658045,4.50582183498268,6.22121467031182
"2019.008",5.61414123721145,4.87282866465167,6.35545380977123,4.68647282950271,6.54180964492019,4.35109370722627,6.87718876719664
"2019.016",5.9882307151952,5.09040891458447,6.88605251580593,4.8647088014864,7.111752628904,4.45852293793125,7.51793849245915
"2019.024",6.18629873126039,5.22069160754838,7.1519058549724,4.97795119193155,7.39464627058923,4.54109839649579,7.83149906602498
"2019.032",6.30675498329397,5.29833511599611,7.31517485059184,5.04483216257636,7.56867780401159,4.58861034400844,8.02489962257951
"2019.040",6.37795438501558,5.33624131444248,7.41966745558869,5.0743689053696,7.68153986466156,4.60308482331725,8.15282394671392
"2019.048",6.46953700273144,5.39501324175953,7.54406076370335,5.124892674167,7.81418133129587,4.6387646235182,8.30030938194468
