"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",43.150002,42.3032297166794,43.9967742833206,42.0903627535652,44.2096412464348,41.7072723330595,44.5927316669405
"2019.008",43.150002,41.9524851526864,44.3475188473136,41.6514458064691,44.6485581935309,41.1096741381747,45.1903298618253
"2019.016",43.150002,41.6833493828476,44.6166546171524,41.3146529874809,44.9853510125191,40.6511209152721,45.6488830847279
"2019.024",43.150002,41.4564574333588,44.8435465666412,41.0307235071304,45.2692804928696,40.264542666119,46.035461333881
"2019.031",43.150002,41.2565616130325,45.0434423869675,40.7805766133451,45.5194273866549,39.9239603915654,46.3760436084346
"2019.039",43.150002,41.0758419775331,45.2241620224669,40.5544265348074,45.7455774651926,39.6160504792203,46.6839535207797
"2019.047",43.150002,40.9096531212314,45.3903508787686,40.3464600744896,45.9535439255104,39.3328980921804,46.9671059078196
