"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",121.129700805002,119.166932037051,123.092469572952,118.673518831212,123.585882778792,117.785537578778,124.473864031226
"2019.008",121.307911563111,118.655608166895,123.960214959327,117.98885539247,124.626967733752,116.788920010338,125.826903115884
"2019.016",121.12606332271,118.074578717815,124.177547927606,117.307477250716,124.944649394704,115.926947274142,126.325179371278
"2019.024",121.12606332271,117.488754038593,124.763372606828,116.574384264725,125.677742380696,114.928819842496,127.323306802925
"2019.032",121.12606332271,116.98499107476,125.267135570661,115.943982186277,126.308144459144,114.070509069525,128.181617575895
"2019.040",121.12606332271,116.536189697308,125.715936948112,115.382358284823,126.869768360598,113.305841785809,128.946284859612
"2019.048",121.12606332271,116.127523492762,126.124603152658,114.870958989453,127.381167655967,112.60955676469,129.64256988073
