"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",188.315501341132,185.114818169812,191.516184512451,184.310210225044,192.32079245722,182.862180942368,193.768821739895
"2019.008",187.994848160653,183.500612239464,192.489084081842,182.370822836921,193.618873484385,180.337574036962,195.652122284344
"2019.016",188.130538387053,182.971722122997,193.289354651108,181.674866317694,194.586210456411,179.340953020298,196.920123753808
"2019.024",188.283803366253,182.232800241088,194.334806491417,180.711660869358,195.855945863147,177.974111025839,198.593495706666
"2019.032",188.19391354284,181.317864298747,195.069962786933,179.589319624288,196.798507461392,176.478508550019,199.909318535661
"2019.040",188.191314885793,180.680135754049,195.702494017538,178.791928118211,197.590701653375,175.393776302484,200.988853469103
"2019.048",188.238141722257,180.102204339926,196.374079104587,178.056941030323,198.41934241419,174.376140732063,202.10014271245
