"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",21471.0042297929,21122.0187405082,21819.9897190776,21034.2885647121,21907.7198948737,20876.4031444239,22065.6053151619
"2019.033",21512.5880043708,21031.3983217343,21993.7776870072,20910.4338210742,22114.7421876673,20692.7375625933,22332.4384461482
"2019.067",21552.0631757458,20977.2172680669,22126.9090834248,20832.7088742087,22271.417477283,20572.6413627461,22531.4849887456
"2019.100",21589.5366656085,20941.7897402978,22237.2835909192,20778.9550283292,22400.1183028878,20485.9061805027,22693.1671507143
"2019.133",21625.109973933,20918.0777299976,22332.1422178683,20740.3395003048,22509.8804475611,20420.4692294238,22829.7507184421
"2019.167",21658.8794538983,20902.3914184948,22415.3674893017,20712.2206796781,22605.5382281184,20369.9759873344,22947.7829204621
"2019.200",21690.9365728686,20892.5009430526,22489.3722026847,20691.7851530947,22690.0879926426,20330.5628419752,23051.310303762
