"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",187.080002,184.471832859463,189.688171140537,183.816174832895,190.343829167105,182.636206342571,191.523797657429
"2019.008",187.080002,183.39149382849,190.76851017151,182.464253355039,191.695750644961,180.79552591285,193.36447808715
"2019.016",187.080002,182.562520533857,191.597483466143,181.426887519451,192.733116480549,179.38312214288,194.77688185712
"2019.024",187.080002,181.863663718927,192.296340281073,180.552347665791,193.607656334209,178.192410685143,195.967593314857
"2019.031",187.080002,181.247958504943,192.912045495057,179.781862587544,194.378141412456,177.143372831871,197.016631168129
"2019.039",187.080002,180.691318442812,193.468685557188,179.08529083196,195.07471316804,176.194970118104,197.965033881896
"2019.047",187.080002,180.179435076947,193.980568923053,178.444726993545,195.715277006455,175.322823813255,198.837180186745
