"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",227.059998,222.743045603827,231.376950396173,221.657822853173,232.462173146827,219.704779347465,234.415216652535
"2019.008",227.059998,220.954905373213,233.165090626787,219.420168641043,234.699827358957,216.658148027365,237.461847972635
"2019.016",227.059998,219.582817115971,234.537178884029,217.70315617431,236.41683982569,214.320385593031,239.799610406969
"2019.024",227.059998,218.426093207653,235.693902792347,216.255647706347,237.864348293653,212.34956069493,241.77043530507
"2019.032",227.059998,217.406998986526,236.712997013474,214.980367145336,239.139628854664,210.613229103557,243.506766896443
"2019.040",227.059998,216.48566738549,237.63432861451,213.82742538913,240.29257061087,209.043465354688,245.076530645312
"2019.048",227.059998,215.638415538021,238.481580461979,212.767186022683,241.352809977317,207.599918606889,246.520077393111
