"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",1.7994,1.79085759315505,1.80794240684495,1.78871014898548,1.81008985101452,1.78484545679512,1.81395454320488
"2019.008",1.7994,1.78731921238456,1.81148078761544,1.78428226771552,1.81451773228448,1.77881676760551,1.81998323239449
"2019.016",1.7994,1.78460411732562,1.81419588267438,1.78088463491751,1.81791536508249,1.77419079168819,1.82460920831181
"2019.024",1.7994,1.7823151863101,1.8164848136899,1.77802029797096,1.82077970202904,1.77029091359024,1.82850908640976
"2019.033",1.7994,1.78029859760323,1.81850140239677,1.77549676646219,1.82330323353781,1.76685505201243,1.83194494798757
"2019.041",1.7994,1.77847546205461,1.82032453794539,1.77321531958805,1.82558468041195,1.76374879570875,1.83505120429125
"2019.049",1.7994,1.77679891589033,1.82200108410967,1.77111731266325,1.82768268733675,1.76089229823374,1.83790770176626
