"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",141.949997,139.555833339838,144.344160660162,138.953973362161,144.946020637839,137.870823640096,146.029170359904
"2019.008",141.949997,138.564138281258,145.335855718742,137.712979738177,146.187014261823,136.181174711153,147.718819288847
"2019.016",141.949997,137.803183898964,146.096810101036,136.760731838585,147.139262161415,134.884661487765,149.015332512235
"2019.024",141.949997,137.161669679676,146.738324320324,135.957949724321,147.942044275679,133.791650280192,150.108343719808
"2019.031",141.949997,136.596484306618,147.303509693382,135.250684483595,148.649309516405,132.828688075248,151.071305924752
"2019.039",141.949997,136.085517671889,147.814476328111,134.611267829977,149.288726170023,131.958103695881,151.941890304119
"2019.047",141.949997,135.615635357223,148.284358642777,134.023263532206,149.876730467794,131.157518734974,152.742475265026
