"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",107.398104753909,105.746447911158,109.049761596661,105.331243985441,109.464965522378,104.584013677029,110.21219583079
"2019.008",107.03953277689,104.824096673576,109.254968880204,104.267166357627,109.811899196152,103.264875227958,110.814190325821
"2019.016",106.734779727655,104.151953791612,109.317605663698,103.502666699807,109.966892755503,102.334163793628,111.135395661682
"2019.024",106.475767794291,103.627270797835,109.324264790748,102.911197637412,110.04033795117,101.622501805396,111.329033783186
"2019.032",106.255631583043,103.204375874214,109.306887291872,102.437331948453,110.073931217633,101.056905527336,111.45435763875
"2019.040",106.068536143566,102.856858971532,109.280213315599,102.049487285448,110.087585001683,100.596484178712,111.540588108419
"2019.048",105.909522307201,102.567377380774,109.251667233628,101.727207886815,110.091836727587,100.215179528689,111.603865085713
