"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",33.93,32.4709594267215,35.3890405732785,32.1041765950063,35.7558234049937,31.44408830709,36.41591169291
"2019.008",33.93,31.8666050332169,35.9933949667831,31.3478957781597,36.5121042218403,30.4143899690248,37.4456100309752
"2019.016",33.93,31.4028675967772,36.4571324032228,30.7675810969026,37.0924189030974,29.6242746447503,38.2357253552497
"2019.024",33.93,31.011918853443,36.848081146557,30.2783531900127,37.5816468099873,28.95817661418,38.90182338582
"2019.031",33.93,30.667486096219,37.192513903781,29.847334751524,38.012665248476,28.3713324685916,39.4886675314084
"2019.039",33.93,30.3560950814499,37.5039049185501,29.4576642973346,38.4023357026654,27.8407848067521,40.0192151932479
"2019.047",33.93,30.069741490352,37.790258509648,29.0993253324656,38.7606746675344,27.3528958792925,40.5071041207075
