"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",2027.089966,1993.80760258168,2060.37232941832,1985.44087192023,2068.73906007977,1970.38351252326,2083.79641947674
"2019.008",2027.089966,1980.02159626598,2074.15833573402,1968.18925229184,2085.99067970816,1946.89493041912,2107.28500158088
"2019.016",2027.089966,1969.44322156349,2084.73671043651,1954.95161896462,2099.22831303538,1928.87150746125,2125.30842453875
"2019.024",2027.089966,1960.52523916336,2093.65469283664,1943.79177784046,2110.38815415954,1913.67705904653,2140.50287295347
"2019.032",2027.089966,1952.66833894478,2101.51159305522,1933.95976043635,2120.22017156365,1900.29048126309,2153.88945073691
"2019.040",2027.089966,1945.56515819124,2108.61477380876,1925.07093725539,2129.10899474461,1888.18808985912,2165.99184214088
"2019.048",2027.089966,1939.03310935065,2115.14682264935,1916.8968207338,2137.2831112662,1877.0587923681,2177.1211396319
