"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",2840.98389526085,2802.34672209958,2879.62106842213,2792.63386555459,2889.33392496711,2775.15392294776,2906.81386757395
"2019.008",2853.0777211519,2793.65897719238,2912.49646511142,2778.72191816498,2927.43352413882,2751.84013181256,2954.31531049124
"2019.017",2863.49954171829,2788.78869684335,2938.21038659323,2770.00741293328,2956.99167050331,2736.20728798441,2990.79179545218
"2019.025",2853.61897488362,2760.7330293534,2946.50492041384,2737.38277388274,2969.85517588451,2695.36000503077,3011.87794473648
"2019.034",2853.61897488362,2749.66535738209,2957.57259238515,2723.53284064983,2983.70510911741,2676.50291793486,3030.73503183239
"2019.042",2853.61897488362,2739.66762427177,2967.57032549548,2711.02181426439,2996.21613550285,2659.46879147071,3047.76915829654
"2019.050",2853.61897488362,2730.47894881217,2976.75900095507,2699.52323155033,3007.71471821692,2643.81313652478,3063.42481324247
