"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",5.24,4.86334154582897,5.61665845417103,4.76865476539223,5.71134523460777,4.59824974808397,5.88175025191603
"2019.008",5.24,4.70732450572884,5.77267549427116,4.57341717665777,5.90658282334223,4.332428090084,6.147571909916
"2019.016",5.24,4.58760842027542,5.89239157972458,4.42360610575388,6.05639389424613,4.12845595791131,6.35154404208869
"2019.024",5.24,4.48668309165794,5.99331690834206,4.29730953078447,6.18269046921553,3.95649949616794,6.52350050383206
"2019.031",5.24,4.39776609217359,6.08223390782641,4.18604001454645,6.29395998545355,3.80500281213815,6.67499718786186
"2019.039",5.24,4.31737897997549,6.16262102002451,4.08544468251854,6.39455531748146,3.66803934050317,6.81196065949683
"2019.047",5.24,4.24345540105343,6.23654459894657,3.99293772757245,6.48706227242755,3.54208842961714,6.93791157038287
