"","Point Forecast","Lo 75","Hi 75","Lo 85","Hi 85","Lo 95","Hi 95"
"2019.000",1.30777,1.30138439895777,1.31415560104223,1.29977914624899,1.31576085375101,1.29689022010364,1.31864977989636
"2019.008",1.30777,1.29873939640218,1.31680060359782,1.29646922625039,1.31907077374961,1.29238366771493,1.32315633228507
"2019.016",1.30777,1.29670981455799,1.31883018544201,1.2939294353074,1.3216105646926,1.28892566844433,1.32661433155567
"2019.024",1.30777,1.29499879791554,1.32054120208446,1.29178829249799,1.32375170750201,1.28601044020727,1.32952955979273
"2019.033",1.30777,1.29349136199238,1.32204863800762,1.28990190781449,1.32563809218551,1.28344207257149,1.33209792742851
"2019.041",1.30777,1.29212853574555,1.32341146425445,1.28819648570083,1.32734351429917,1.28112009074012,1.33441990925988
"2019.049",1.30777,1.29087528767059,1.32466471232941,1.28662818821175,1.32891181178825,1.2789848080751,1.3365551919249
